text,x,y,filename,color
478386.jpg,-4.349368,6.039676,static/images/demo_images/acv_P-Antitus/478386.jpg/478386.jpg,4
478387.jpg,-4.214542,6.069548,static/images/demo_images/acv_P-Antitus/478387.jpg/478387.jpg,4
478388.jpg,-3.8868773,3.8114998,static/images/demo_images/acv_P-Antitus/478388.jpg/478388.jpg,2
478390.jpg,-5.7258987,3.730351,static/images/demo_images/acv_P-Antitus/478390.jpg/478390.jpg,6
478391.jpg,-5.822609,3.5416293,static/images/demo_images/acv_P-Antitus/478391.jpg/478391.jpg,6
478392.jpg,-3.908104,3.8130968,static/images/demo_images/acv_P-Antitus/478392.jpg/478392.jpg,2
478394.jpg,-5.6972475,3.5651214,static/images/demo_images/acv_P-Antitus/478394.jpg/478394.jpg,6
478395.jpg,-5.7325296,3.5875385,static/images/demo_images/acv_P-Antitus/478395.jpg/478395.jpg,6
478396.jpg,-5.704196,3.5950463,static/images/demo_images/acv_P-Antitus/478396.jpg/478396.jpg,6
478397.jpg,-5.7685027,3.5810494,static/images/demo_images/acv_P-Antitus/478397.jpg/478397.jpg,6
478398.jpg,-5.7261453,3.735821,static/images/demo_images/acv_P-Antitus/478398.jpg/478398.jpg,6
478399.jpg,-5.522404,3.6963005,static/images/demo_images/acv_P-Antitus/478399.jpg/478399.jpg,6
478400.jpg,-5.6315107,3.756359,static/images/demo_images/acv_P-Antitus/478400.jpg/478400.jpg,6
478401.jpg,-5.5306864,3.8730404,static/images/demo_images/acv_P-Antitus/478401.jpg/478401.jpg,6
478402.jpg,-5.6452293,3.5761297,static/images/demo_images/acv_P-Antitus/478402.jpg/478402.jpg,6
478403.jpg,-5.52653,3.8679886,static/images/demo_images/acv_P-Antitus/478403.jpg/478403.jpg,6
478404.jpg,-5.7058935,3.5643213,static/images/demo_images/acv_P-Antitus/478404.jpg/478404.jpg,6
478405.jpg,-5.6030774,3.6893518,static/images/demo_images/acv_P-Antitus/478405.jpg/478405.jpg,6
478406.jpg,-5.549858,3.5799634,static/images/demo_images/acv_P-Antitus/478406.jpg/478406.jpg,6
478407.jpg,-5.546376,3.8320386,static/images/demo_images/acv_P-Antitus/478407.jpg/478407.jpg,6
